Estatus	Programa	Región	Área	Coordinación	Estado	Municipio	Localidad	Nombre	Sedes	Direcciones	Horarios	Rama Artística (DT)	Año de creación	Atención a las causas	Número promotores	Cantidad de participantes	Niñas	Niños	Mujeres Jóvenes	Hombres Jóvenes	Mujeres adultas	Hombres adultos	Personas con Discapacidad	Personas Indígenas	Personas Afromexicanas	lat	lon	Consecutivo	Municipio Concatenado	Cantidad de público participante	Número de sesiones	Proyecto PAICE	Presupuesto PAICE
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California	Ensenada	Comunidad Indígena de Santa Catarina	Semillero Creativo de Danza y Canto Tradicional Paipai en Santa Catarina, Baja California	Casa Comunal Indígena Paipai	Comunidad Indígena de Santa Catarina, Unnamed Road, Ensenada Baja California, CP 22789.	Lunes a viernes de 14 a 18 h.	Saberes tradicionales	2023	No		23										31.6569763	-115.8266771	321	Baja CaliforniaEnsenada				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California	San Quintín	San Quintín	Semillero Creativo de Pintura en San Quintín, Baja California	Brigada de Educación para el Desarrollo Rural #54	Prolongación 27 de Enero # 602, colonia Parcela 16, Ejido Emiliano Zapata, San Quintín, Baja California, CP. 22920	Lunes a viernes 15:30 a 19:30 h	Artes Plásticas	2019	No		36							0		0	30.7801382	-116.0070426	322	Baja CaliforniaSan Quintín				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California	Tijuana	Tijuana	Semillero Creativo de Pintura en Centro, en Tijuana, Baja California	Border Line Crisis Center A.C.	Calle Alderete y Ote 8010, int. 37B. Via Rápida, Calle Primera Puente México. Zona Centro, Tijuana, Baja California, CP. 22000	Lunes a viernes de 10 a 14 h	Artes Plásticas	2021	Sí		8							0		0	32.5381034	-117.033672	323	Baja CaliforniaTijuana				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California	Tijuana	Tijuana	Semillero Creativo de Pintura y Stop Motion en Norte, en Tijuana, Baja California	Movimiento Juventud 2000	Av. Constitución #205, esq. Fernando Sánchez Ayala, Zona Norte, Tijuana, Baja California, CP. 22000	Lunes a viernes de 14:30 a 17:30  h.	Artes Plásticas	2021	Sí		5							0		0	32.5403225	-117.0393819	324	Baja CaliforniaTijuana				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California	Tijuana	Tijuana	Semillero Creativo de Teatro en Tijuana, Baja California	"Sede 1: Centro de Desarrollo Comunitario Natura 
Sede 2: Escuela Primaria Frida Kahlo"	"Sede 1:Ave. Natura s/n Fracc. Natura, Sección Bosques, 22165 Tijuana, B.C.
Sede 2: Avenida Bosques de Natura, Natura Sección Bosques, 22165 Tijuana, B.C"	(en blanco)	Artes Escénicas	2019	Sí		16										32.3772174	-116.9345499	325	Baja CaliforniaTijuana				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California Sur	La Paz	La Paz	Semillero Creativo de Fotografía en Lienzo Charro, en La Paz, Baja California Sur	"Sede 1: Escuela Primaria General Vicente Guerrero
Sede 2: Escuela Primaria Jesús Castro Agúndez"	"Sede 1: Calle 20 de noviembre entre Constitución y Miguel Hidalgo y Costilla, Colonia Lienzo Charro, La Paz, Baja California Sur, CP 23030
Sede 2: Calle 20 de noviembre S/N, Colonia Flores Magón, C.P. 23056. La Paz, Baja California Sur."	"Sede 1: martes y jueves de 16 a 20 h.
Sede 2: Lunes, miércoles y viernes de 15 a 19 h."	Artes Visuales	2019	No		17										24.146245	-110.2872289	326	Baja California SurLa Paz				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California Sur	La Paz	La Paz	Semillero Creativo de Gráfica en la Paz, Baja California Sur	Escuela Primaria Francisco King Rondero	Calle Bahía Almeja, S/n esquina con Bahía de Coronado, colonia Paraíso del Sol, La Paz, Baja California Sur. C.P. 23085	Lunes a viernes de 16 a 18:30 h	Artes Plásticas	2023	No		16										24.0900479	-110.3347742	327	Baja California SurLa Paz				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Baja California Sur	Mulegé	Guerrero Negro	Semillero Creativo de Pintura en Mulegé, Baja California Sur	Centro Cultural Caleidoscopio	Calle Teodomiro Meza, S/n, entre calles Federico Galaz Ramírez y Miguel Aguilar Murillo, Colonia Nuevo Infonavit. Guerrero Negro, Mulegé, Baja California Sur, CP 23940	Lunes a viernes de 15 a 19 h.	Artes Plásticas	2019	No		25										27.9720347	-114.0266617	328	Baja California SurMulegé				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Chihuahua	Chihuahua	Chihuahua	Semillero Creativo de Grabado y Dibujo en Chihuahua, Chihuahua	Centro Cultural Quinta Carolina	Av. Monte Everest esq, Av Dostoievski, S/n, colonia Quintas Carolinas, Chihuahua, Chihuahua. CP. 31146	Lunes a viernes de 15 a 19 h.	Artes Plásticas	2019	No		66										28.7264078	-106.0982447	329	ChihuahuaChihuahua				
Activo	Semilleros Creativos	Norte	DVEM	DGVC	Chihuahua	Cuauhtémoc	Cuauhtémoc	Semillero Creativo de Radio en Cuauhtémoc, Chihuahua	Centro de Desarrollo Comunitario Tierra Nueva	Privada de Moctezuma, Calle 92, #1037, colonia Tierra Nueva, Cuauhtémoc, Chihuahua, CP. 31524.	Lunes a viernes de 16 a 20 h.	Radio	2022	No		16										28.3913592	-106.9027947	330	ChihuahuaCuauhtémoc				
